recId,shot_made_flag,Prediction Probability
2,0,0.377680342
3,0,0.394264537
8,1,0.768274015
15,0,0.301972273
23,1,0.725736221
24,0,0.395954432
27,0,0.384522368
28,0,0.36227088
36,0,0.368868838
40,1,0.944296499
41,1,0.983287738
43,0,0.323839049
53,0,0.342088856
54,0,0.400761253
59,0,0.380682139
61,1,0.785266123
67,0,0.368890258
69,1,0.974522549
73,0,0.363306007
77,0,0.283333218
78,0,0.346461557
85,0,0.356018292
87,0,0.262447307
88,1,0.60698083
94,0,0.291689956
104,0,0.301185346
125,0,0.339784479
127,0,0.277749603
133,0,0.299510789
135,0,0.281210471
143,1,0.777915856
150,0,0.393739883
152,0,0.381333636
154,1,0.966484437
156,0,0.379764463
167,0,0.297019131
179,0,0.264549995
185,0,0.233882576
189,0,0.392971852
203,0,0.33650626
215,0,0.384910554
220,0,0.381421714
225,0,0.366542117
238,0,0.459946178
244,0,0.427305827
246,0,0.450726393
248,1,0.799675644
250,1,0.812052214
252,0,0.426582515
255,0,0.343943244
257,1,0.708906656
259,0,0.330577307
263,0,0.43467604
266,0,0.391691112
278,0,0.431492039
285,0,0.410401348
289,1,0.799199298
301,1,0.988219795
305,0,0.357666902
319,0,0.312886705
324,0,0.405685738
328,0,0.320495886
329,1,0.982893454
335,0,0.354072994
336,0,0.308307683
352,0,0.273939243
353,0,0.375603913
357,0,0.325472869
359,1,0.984077262
375,0,0.360107599
382,0,0.364095582
384,1,0.76920607
394,1,0.814596743
400,1,0.779685118
406,0,0.32950722
410,1,0.779458709
425,0,0.334747589
426,0,0.259097951
427,0,0.292153177
428,0,0.264935327
429,0,0.362631622
433,0,0.335780529
437,0,0.346132112
441,0,0.296947151
443,0,0.224834881
447,0,0.241914345
448,1,0.979076059
458,0,0.357746621
459,0,0.381905816
466,0,0.362313538
470,0,0.336528607
471,0,0.35115839
486,0,0.357117901
489,1,0.793807619
493,1,0.718365822
498,0,0.279192988
503,1,0.761121615
505,0,0.404495113
518,0,0.352945042
521,0,0.313281277
523,0,0.29231529
533,1,0.775272008
534,1,0.822670241
535,0,0.418259666
543,1,0.728337139
560,0,0.402606411
570,0,0.339538065
576,1,0.972886899
579,0,0.352823682
586,0,1.12E-06
597,0,0.276392789
614,0,0.354581367
617,0,0.390148935
618,1,0.736642877
630,0,0.426930092
633,0,0.376642647
642,1,0.747023631
659,1,0.986040624
661,0,0.369138165
664,0,0.395917777
685,0,0.451500606
686,1,0.812861465
687,0,0.383372526
689,0,0.371006644
695,0,0.435470517
701,1,0.687657415
702,1,0.685367409
705,0,0.396152256
707,1,0.684100881
718,1,0.961548422
719,0,0.278494802
722,1,0.580842132
735,0,0.297612275
738,0,0.267934923
745,0,0.304638127
759,1,0.789653208
767,1,0.745662965
774,0,0.305530307
780,0,0.359990091
781,0,0.346022183
785,0,0.325566489
792,0,0.275347775
796,0,0.283437691
797,0,0.289515153
807,0,0.330047672
809,0,0.352220114
811,0,0.325209105
813,0,0.333772957
829,0,0.312349753
835,1,0.784833338
837,0,0.331284819
838,0,0.334130435
840,0,0.306468396
842,0,0.319520504
848,0,0.282795943
853,0,0.389972134
859,0,0.384461644
870,1,0.664035581
875,0,0.375520643
895,0,0.281450344
906,0,0.364300255
909,0,0.311881754
910,0,0.44473551
912,0,0.355246928
927,1,0.736651602
928,1,0.976503248
932,0,0.402630698
941,0,0.324212337
951,0,0.32732954
956,0,0.283278306
968,0,0.370265495
972,0,0.298554545
979,1,0.775629025
982,1,0.637347466
984,0,0.326722285
994,1,0.614935008
995,0,0.357671945
996,0,0.367637502
1002,0,0.317331354
1004,1,0.704249265
1016,0,0.362686903
1027,0,0.355885839
1028,0,0.321460735
1031,0,0.331460215
1045,0,0.307414078
1047,0,0.308734333
1048,0,0.356812549
1051,0,0.289980037
1059,0,0.252833975
1060,1,0.961479032
1062,0,0.289835241
1063,0,0.218656365
1070,0,0.248234262
1074,0,7.09E-07
1077,1,0.954097284
1079,0,0.296403722
1083,0,0.224539146
1090,0,0.260619593
1093,1,0.768568078
1107,1,0.576145742
1119,1,0.77028667
1121,0,0.301920566
1127,1,0.723732255
1133,0,0.400433433
1154,0,0.389467715
1158,0,0.335343807
1162,0,0.375439965
1178,1,0.61464132
1179,0,0.301887318
1181,0,0.28230289
1186,0,0.22646878
1188,0,0.260615569
1197,0,0.381854236
1200,0,0.360471519
1205,0,0.348357645
1215,0,0.287247202
1222,0,0.260326745
1224,0,0.332615968
1226,0,0.272418247
1227,0,0.285945597
1252,0,0.345540436
1253,0,0.268579768
1256,1,0.980922249
1261,1,0.979173864
1263,0,0.241028663
1265,0,0.211373711
1271,0,0.344182246
1276,1,0.725796477
1286,0,0.25358849
1291,0,0.250526757
1295,1,0.963487815
1297,1,0.713975446
1320,1,0.649643548
1327,0,0.303735966
1329,1,0.955025148
1336,1,0.753791235
1341,0,0.316023888
1342,0,0.306694885
1348,1,0.695524588
1350,0,0.26023026
1352,0,0.315583739
1360,0,0.246476136
1363,1,0.988045464
1368,1,0.764293029
1369,0,0.391817281
1382,1,0.969875336
1383,1,0.628879628
1392,0,0.332388822
1399,0,0.421940015
1406,1,0.841755168
1417,0,0.314392405
1424,0,0.397511219
1439,0,0.339279801
1440,0,0.350556531
1441,0,0.353681052
1448,0,0.352281871
1449,0,0.356581443
1456,1,0.984840911
1462,0,0.346316871
1468,1,0.725307926
1469,0,0.332366729
1477,0,0.445108939
1479,0,0.412775468
1481,0,0.420730341
1482,1,0.770767312
1489,0,0.36576746
1491,0,0.424006337
1505,1,0.735932317
1506,0,0.292840881
1535,0,0.455978101
1548,0,0.340008694
1550,0,0.384451518
1564,1,0.716478024
1574,0,0.360224044
1575,1,0.704050954
1580,1,0.802747702
1581,1,0.792368873
1588,0,0.358703111
1592,0,0.453236509
1595,0,0.366769741
1597,0,0.421409333
1614,0,0.381338521
1616,0,0.390651254
1617,0,0.286675396
1623,0,0.284350645
1628,0,0.389689999
1635,0,0.344300329
1636,0,0.279508618
1640,0,0.227274427
1649,0,0.37560391
1657,0,0.38586039
1664,0,0.361933339
1666,1,0.987922844
1671,0,0.364269351
1672,0,0.337669623
1673,1,0.773848464
1675,0,0.397757365
1677,0,0.384717881
1681,0,0.342460382
1683,0,0.360482617
1684,0,0.416899215
1700,0,0.364796843
1703,0,0.362491649
1721,0,0.437817244
1727,1,0.664542826
1728,1,0.615986054
1733,0,0.372057107
1749,0,0.391333374
1766,0,0.444858989
1774,0,0.38941984
1776,0,0.415210056
1788,0,0.388470839
1789,1,0.783846694
1795,1,0.635910924
1802,0,0.350177943
1818,0,0.270637274
1847,0,0.429272088
1852,0,0.410874205
1854,1,0.78232534
1855,1,0.722325627
1857,0,0.290283063
1863,0,0.317553079
1872,1,0.762124615
1876,0,0.350443522
1877,0,0.29328699
1887,1,0.598007888
1890,1,0.846800105
1894,1,0.831143977
1901,0,0.343969081
1902,0,0.276306244
1910,0,0.365490672
1913,0,0.340103607
1916,1,0.742379715
1920,0,0.349363993
1921,1,0.719430156
1930,0,0.441004522
1935,0,0.378308579
1938,1,0.97007593
1939,0,0.344914117
1948,0,0.422392602
1951,0,0.455431561
1954,0,0.477544869
1957,1,0.862487724
1964,0,0.428456008
1967,0,0.419750394
1968,0,0.347604479
1969,0,0.331660582
1981,0,0.307398526
1987,0,0.338399846
2000,0,0.308996554
2005,1,0.645572144
2010,1,0.550007517
2015,0,0.221839357
2022,1,0.62257147
2025,0,0.282005505
2026,1,0.573173118
2029,1,0.640255045
2049,0,0.379105952
2077,1,0.965498084
2081,0,0.398557519
2082,1,0.79272425
2083,1,0.804792522
2089,0,0.45812673
2110,0,0.324912316
2127,0,0.343242341
2133,0,0.426788866
2136,0,0.303254258
2150,0,0.363682007
2151,0,0.269460586
2165,0,0.324746035
2166,0,0.342431307
2168,0,0.414504475
2174,0,0.312562648
2175,0,0.343787442
2176,0,0.305849628
2201,0,0.360633105
2204,1,0.794405639
2222,0,0.309946152
2224,1,0.985365139
2231,1,0.769836054
2239,0,0.390349572
2248,0,0.390525811
2254,1,0.712110714
2260,0,0.370080464
2275,0,0.353090065
2279,0,0.31789428
2284,1,0.644464055
2288,1,0.990122158
2290,1,0.978324035
2292,0,0.401335867
2296,0,0.453734989
2297,0,0.32894365
2299,1,0.689338665
2314,0,0.330835955
2319,0,0.33776019
2323,1,0.8130344
2331,1,0.827928674
2344,1,0.814450285
2356,1,0.669120717
2364,0,0.359209285
2368,0,0.363604682
2374,1,0.983158904
2377,0,0.297834537
2380,0,0.334716153
2381,1,0.543352476
2388,1,0.963262701
2407,0,0.311344278
2416,0,0.305289131
2419,0,0.384318074
2421,0,0.404476232
2424,1,0.985962217
2429,0,0.388712367
2431,1,0.773595885
2433,1,0.780340763
2440,0,0.331337567
2455,0,0.347097307
2458,0,0.35832305
2460,0,0.392796921
2461,1,0.717513797
2467,1,0.724291257
2475,0,0.423651758
2479,0,0.429697071
2482,0,0.381137133
2488,0,0.328803317
2491,0,0.311475449
2500,0,0.421766563
2506,1,0.758671179
2509,0,0.36676596
2512,1,0.759566888
2514,1,0.723188779
2518,0,0.32534714
2519,0,0.312165643
2521,1,0.709291314
2527,1,0.698296445
2528,0,0.333931235
2530,1,0.574563131
2537,0,0.467440908
2543,0,0.372082588
2544,0,0.380373729
2545,0,0.428816265
2564,0,0.348834369
2572,0,0.418647158
2574,0,0.387238023
2587,1,0.970298564
2588,0,0.296589829
2590,0,0.281956449
2591,0,0.342200523
2594,0,0.307879424
2597,0,0.27178867
2610,0,0.44293444
2621,0,0.325594092
2625,0,0.399228862
2629,0,0.336315627
2634,0,0.372431371
2640,1,0.730819403
2641,0,0.301534099
2651,0,0.36950835
2653,0,0.360812292
2676,0,0.344630258
2678,1,0.96499483
2679,1,0.72825174
2680,0,0.272975036
2682,0,0.306034944
2694,0,1.27E-06
2698,0,0.340766356
2702,0,0.274851264
2707,0,0.332489737
2710,0,0.286786991
2711,0,0.297027073
2712,0,0.345830036
2714,0,0.318336322
2717,0,0.262140222
2727,0,0.36250909
2732,0,0.346244378
2734,0,0.325275954
2752,0,0.396323779
2766,0,0.34096171
2768,1,0.577813392
2780,1,0.964479154
2783,0,0.264180917
2793,0,0.339778801
2798,0,0.306220575
2810,0,0.439707625
2830,1,0.84624533
2832,1,0.724668431
2836,0,0.391581099
2856,0,0.348985858
2868,1,0.774796527
2869,0,0.460694912
2870,1,0.734495687
2880,0,0.360775655
2881,0,0.4211735
2887,0,0.331936271
2895,0,0.387249822
2898,0,0.343270735
2913,0,0.318337079
2921,0,0.402343455
2937,0,0.348283943
2944,1,0.780115274
2946,1,0.742837576
2947,1,0.984509636
2948,0,0.314814771
2951,1,0.983471582
2961,0,0.369929161
2962,0,0.404506774
2972,1,0.800332757
2974,0,0.383817181
2987,0,0.341380218
2988,0,0.331997793
3001,0,0.3407787
3002,0,0.29131985
3005,0,0.338249227
3007,0,0.279019089
3010,0,0.289973158
3015,0,0.381274257
3031,0,0.341453135
3048,0,0.362526356
3051,1,0.623528044
3053,0,0.35682985
3057,0,0.24195465
3060,0,0.33457967
3063,1,0.759759503
3065,0,0.337422769
3070,1,0.691098041
3075,0,0.372904771
3081,0,0.295561815
3091,0,0.355468639
3092,0,0.346378354
3096,0,0.246766311
3100,0,0.330671818
3101,1,0.744426538
3110,0,0.305861007
3117,0,0.226049682
3118,0,0.322001514
3120,0,0.232528954
3126,0,0.269480657
3128,0,0.273918338
3130,0,0.238508761
3138,1,0.714254985
3140,1,0.768960745
3145,0,0.359487407
3156,0,0.422138166
3158,0,0.396602283
3162,1,0.78706699
3164,1,0.972106303
3175,1,0.509788941
3176,0,0.406605859
3177,1,0.76951582
3178,0,0.397903184
3181,0,0.467297348
3185,0,0.456628182
3186,0,0.414095974
3188,1,0.789358526
3200,1,0.609505159
3202,0,0.230898136
3207,0,0.276714031
3223,0,0.31942598
3236,0,0.324347221
3237,0,0.261243594
3263,0,0.333792475
3273,0,0.366747496
3277,1,0.761767778
3296,0,0.305054314
3297,0,0.341865117
3298,0,0.353195787
3299,0,0.321665847
3304,0,0.300395404
3305,0,0.276469983
3306,0,0.346779192
3308,0,0.281442133
3314,0,0.326570322
3315,0,0.213386367
3326,1,0.562975693
3336,0,0.369228084
3338,0,0.377060702
3348,0,0.279476135
3353,0,0.370772085
3354,1,0.983682755
3362,0,0.307674899
3364,0,0.283381615
3373,0,0.434037364
3382,0,0.443582573
3395,0,0.337236124
3396,0,0.35244049
3398,0,0.275342672
3411,0,0.271885517
3422,0,0.432833491
3425,0,0.327120723
3433,0,0.371343066
3438,0,0.32202754
3447,0,0.355209637
3459,0,0.252448301
3464,0,0.417237404
3469,0,0.380564919
3475,1,0.821510676
3476,0,0.346173613
3482,1,0.580599035
3484,0,0.295026665
3494,0,0.372117169
3504,0,0.229585631
3506,1,0.6815557
3507,0,0.22604828
3509,0,0.332797878
3519,1,0.640336088
3520,0,0.267375831
3527,0,0.405337064
3528,0,0.424295092
3533,0,0.313800921
3543,1,0.839753463
3560,0,0.393012243
3566,0,0.383203398
3568,1,0.757778573
3572,0,0.394832078
3582,1,0.727609612
3588,1,0.802799588
3592,1,0.756839715
3595,0,0.332966646
3596,1,0.982604025
3597,1,0.718872269
3609,0,0.352303198
3610,1,0.98540352
3618,0,0.30650127
3641,0,0.255207286
3644,0,0.311096935
3645,1,0.980920275
3654,0,0.308858718
3655,0,0.333140227
3661,0,0.340075671
3662,0,0.298128687
3666,0,0.389410934
3679,1,0.613815556
3684,0,0.27992245
3685,0,0.283129111
3701,0,0.401730588
3706,0,0.37539663
3707,0,0.308399527
3710,0,0.333820123
3736,1,0.799254279
3742,0,0.393790779
3748,1,0.659289723
3760,1,0.643582717
3761,0,0.373409757
3763,0,0.279778496
3766,0,0.350995526
3768,1,0.741414438
3769,0,0.245633798
3774,0,0.254378399
3775,0,0.289559724
3783,1,0.685447346
3787,0,0.407665203
3789,1,0.77853177
3793,0,0.357129451
3794,1,0.701269143
3806,0,0.307572133
3812,1,0.578578033
3826,0,0.346150809
3834,1,0.984086988
3836,0,0.28975924
3839,0,0.273859641
3840,1,0.962170266
3844,0,0.262468122
3848,0,0.28989743
3852,0,0.416067485
3853,0,0.37331793
3854,0,0.328917611
3855,0,0.354490197
3863,1,0.614416108
3867,0,0.273211
3868,0,0.328639804
3884,0,0.455022127
3885,1,0.988279536
3889,0,0.401730103
3912,1,0.734924788
3918,0,0.372906123
3929,0,0.369513076
3946,0,0.410331327
3956,1,0.762517112
3964,0,0.314423479
3966,0,0.266541656
3978,0,0.27974912
3981,0,0.323653727
3982,0,0.252065131
3991,0,0.362849327
3992,1,0.761561412
3997,0,0.366200152
4010,0,0.378911608
4015,1,0.690819212
4018,0,0.282398527
4055,0,0.411560662
4058,0,0.391196913
4073,0,0.344461411
4079,0,0.32469348
4098,0,0.455639814
4100,1,0.794588856
4107,0,0.423429487
4108,0,0.422702295
4120,0,0.36106964
4131,0,0.325836886
4134,0,0.29341676
4135,0,0.365930006
4164,0,0.459780935
4167,0,0.39586282
4189,0,0.356091814
4192,0,0.328043561
4195,1,0.52908283
4207,0,0.327821142
4213,1,0.743916412
4215,1,0.590116734
4237,0,0.333150677
4239,0,0.303822757
4242,1,0.713122769
4244,0,0.283394452
4251,0,0.320155652
4252,0,0.374022397
4256,0,0.339511149
4283,0,0.338884616
4285,0,0.328009058
4293,0,0.352673173
4303,1,0.640868454
4307,0,0.329215282
4309,0,0.312926541
4311,0,0.354158074
4312,0,0.327684175
4313,1,0.596982573
4314,1,0.958709899
4319,0,0.265001739
4324,0,0.248430599
4339,0,0.383512594
4343,0,0.385408642
4347,0,0.330705226
4350,0,0.374118399
4352,0,0.359460412
4353,0,0.346268036
4358,0,0.293612698
4359,0,0.293912159
4360,0,0.346973005
4374,0,0.418987293
4375,0,0.436977453
4379,0,0.410367097
4382,0,0.361101994
4386,0,0.425501466
4389,0,0.368379444
4416,1,0.985743043
4417,0,0.336271532
4418,1,0.985762758
4427,0,0.329146119
4428,0,0.289374909
4440,0,0.351568736
4447,0,0.344282085
4464,0,0.387888463
4476,1,0.985299359
4478,1,0.683727071
4494,0,0.343535953
4499,0,0.352290718
4501,0,0.288705521
4502,0,0.313585506
4511,0,0.365122102
4512,0,0.376392172
4520,1,0.718912947
4521,0,0.299247328
4525,0,0.344517603
4528,0,0.295175781
4529,0,0.273618144
4535,0,0.447767963
4536,1,0.840433089
4542,1,0.658398795
4543,0,0.385593521
4545,0,0.360638397
4549,0,0.309311983
4552,0,0.377689671
4563,0,0.376200274
4564,0,0.373091889
4566,0,0.394359254
4568,0,0.292593224
4584,0,0.311288147
4585,0,0.335730515
4589,0,0.316372652
4592,0,0.34109657
4605,0,0.354446195
4608,0,0.366654436
4610,0,0.313076206
4615,0,0.311241481
4618,0,0.331677041
4622,0,0.289101111
4631,0,0.424702617
4634,1,0.481627971
4638,0,0.359616643
4660,0,0.303881538
4661,0,0.32487479
4667,0,0.354547349
4673,0,0.285774264
4682,0,0.30081462
4684,0,0.323351262
4715,0,0.30030768
4728,0,0.358752549
4729,0,0.407998144
4762,0,0.342004325
4764,0,0.340135372
4770,0,0.267036334
4774,1,0.729522472
4779,0,0.308856158
4783,1,0.58921194
4784,1,0.486548989
4790,1,0.562347555
4797,0,0.340949674
4805,1,0.731351029
4808,1,0.769901912
4809,0,0.293331776
4814,0,0.296561982
4817,0,0.259223036
4820,0,0.306421936
4840,0,0.35833193
4845,0,0.346398103
4851,1,0.732004962
4852,1,0.628417409
4853,1,0.611218117
4857,1,0.983246539
4867,0,0.321723456
4874,0,0.253946404
4876,0,0.25154583
4890,1,0.703452843
4905,0,0.327579876
4918,0,0.266894161
4925,0,0.308601124
4926,0,0.249746558
4934,0,0.296780278
4939,0,0.393681845
4942,0,0.365352325
4943,0,0.346130579
4958,0,0.370112814
4960,0,0.339747529
4962,0,0.332180093
4973,1,0.747961697
4975,0,0.360685667
4976,1,0.585240575
4985,0,0.327718351
4988,0,0.444076912
4993,0,0.395907325
4997,0,0.340257123
5009,0,0.286835492
5011,1,0.725305523
5016,0,0.288062724
5034,0,0.391329375
5038,0,0.361444424
5044,0,0.402088558
5047,0,0.287946153
5048,0,0.34137383
5057,0,0.310835529
5059,0,0.356556709
5066,0,0.296207726
5068,0,0.274331963
5072,0,0.277937246
5078,0,0.334008137
5079,0,0.402959101
5083,0,0.413443156
5084,0,0.382894576
5094,1,0.588473706
5097,0,0.360324831
5098,1,0.626327978
5099,1,0.708415326
5100,0,0.23544556
5114,0,0.310919096
5121,0,0.234964864
5126,1,0.580870117
5133,0,0.248509555
5136,0,0.430642479
5140,0,0.296625706
5154,1,0.536523914
5159,0,0.35383636
5183,1,0.791713809
5190,0,0.339836232
5193,0,0.397349485
5204,0,0.305682426
5206,0,0.400744764
5222,1,0.686586285
5232,0,0.348868979
5243,0,0.359415104
5256,0,0.350732641
5269,1,0.755527706
5272,0,0.319949049
5273,1,0.759076748
5274,0,0.221134366
5275,0,0.283647708
5276,0,0.237621445
5279,1,0.629720233
5289,0,0.29818971
5290,1,0.531061404
5292,0,9.99E-07
5297,0,0.340916404
5300,1,0.565834158
5301,0,0.257948933
5305,1,0.674452019
5309,0,0.343491826
5318,0,0.25778874
5331,0,0.396067496
5337,0,0.379370539
5342,0,0.290031766
5343,0,0.315702922
5346,0,0.223798565
5348,1,0.513318617
5351,0,0.27498131
5355,0,0.1701166
5367,1,0.779994386
5370,1,0.68088547
5385,0,0.299656428
5387,0,0.287939014
